,smiles
356,CC(=O)NC1C(OC(C(C1=O)O)C(=O)O)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O
357,CC1=C(C(=C2C(=C1O)C3(C(=CC(=O)C(C3=O)C(=O)C)O2)C)C(=O)C)O
358,CC(CCC(=O)NCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(=O)C4)C)O)C
359,CC(=O)CC1=CC=C(C=C1)OC
360,CCC(C(=O)O)O
361,CCCC(C)C1C(C(=O)C(=O)O1)(C)CCC
362,C1=CC(=O)C=CC1=NC2=CC(=C(C(=C2)Cl)O)Cl
363,CCCCCC(=O)CCCCC
364,COC1=C(C=CC(=C1)CO)O
365,CC1CCCC(C1)O
366,CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O
367,C1CC(=O)CCC1O
368,CC1CCCCC1O
369,CC(=O)C1=CC=NC=C1
370,CC(C)C1C(C(=O)C(=O)O1)(C)C
371,CC(=CCCC(=CC=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=O)C)C)C)C
372,C1C(C(C(OC1O)COP(=O)(O)O)O)O
373,CC1=CC(=O)C=CC1=O
374,CCOC(=O)CC(=O)C1=CC=CC=C1
375,C1C(CNC1C(=O)O)O
376,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C(C)(C)O)O
377,CCO
378,CC1=CC=CC=C1CO
379,CC(C(C1=NC2=C(NC1)N=C(NC2=O)N)O)O
380,C1=CC=C(C=C1)C(C(=O)O)O
381,CCOC(=O)C(=O)C1=CC=CC=C1
382,CC(C)(CO)C(=O)C(=O)O
383,C1=CC(=CC(=C1)Cl)C(=O)CCl
384,CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C
385,C(C(C(CO)O)O)C(=O)C(=O)O
386,CC12CCC3C(C1CCC2OS(=O)(=O)O)CCC4=CC(=O)CCC34C
